date,port01,port02,port03,port04,port05,port06,port07,port08,port09,port10,portLS
1970-05-28,7,0,NA,-1.5873,NA,11.6279,6.25,NA,-1.5385,1.7442,-5.2558
1970-05-29,4.6729,2.0576,NA,0.8065,NA,6.25,5.8824,NA,1.0417,2.2857,-2.3872
1970-06-01,0.8929,-1.2097,0.8,NA,-2.9412,3.125,NA,0,1.9553,8.7629,7.87
1970-06-02,0,2.8571,-0.3968,NA,0.5051,-0.7576,NA,3.7037,2.1918,-4.2654,-4.2654
1970-06-03,2.6549,5.9524,-0.7968,NA,2.5126,0.7634,NA,-3.5714,-1.3405,-1.9802,-4.6351
1970-06-04,1.7241,1.8727,-0.4016,NA,-3.9216,-1.5152,NA,3.7037,0.2717,4.0404,2.3163
1970-06-05,-7.6271,-3.6765,-1.6129,NA,-2.551,-1.5385,NA,-3.5714,-0.813,2.9126,10.5397
1970-06-08,2.7523,-1.9084,-1.6393,NA,-2.6178,0,NA,-5.5556,-1.0929,-5.1887,-7.941
1970-06-09,-1.7857,-0.3891,-1.6667,NA,0.5376,0,NA,0,-3.0387,0,1.7857
1970-06-10,-0.9091,0.7874,-0.8475,NA,2.6738,-1.5625,NA,-1.9608,-1.1396,1.4925,2.4016
1970-06-11,0.9174,-3.125,-5.5556,NA,-2.6042,-0.3968,NA,-2,0.5764,-1.4706,-2.388
1970-06-12,-1.8182,-2.0161,-1.3575,NA,-2.139,-0.3984,NA,-2.0408,0,0.995,2.8132
1970-06-15,-3.7037,-0.4115,0.4587,NA,0.5464,0.2,NA,-2.0833,0.8596,-0.4926,3.2111
1970-06-16,3.8462,0,5.4795,NA,3.2609,0,NA,-2.1277,0.7386,3.4654,-0.380800000000001
1970-06-17,-1.8519,0.8264,0.4329,NA,0.5263,-0.998,NA,0,1.4164,1.4354,3.2873
1970-06-18,0,0.8197,2.1552,NA,-2.6178,0.8065,NA,2.1739,-0.838,-2.8302,-2.8302
1970-06-19,0,-0.813,-2.9536,NA,-1.6129,-0.8,NA,-2.1277,1.1268,-2.4272,-2.4272
1970-06-22,-0.9434,-1.6393,0,NA,8.1967,0,NA,0,0.2786,-1.4925,-0.5491
1970-06-23,-3.8095,-3.3333,-3.913,NA,-4.5455,0,NA,0,0,1.5152,5.3247
1970-06-24,-0.9901,-6.8966,1.3575,NA,0,-0.8065,NA,-2.1739,2.2222,-8.9552,-7.9651
1970-06-25,-1.8,0,0.8929,NA,0.5291,0,NA,0,-2.9891,-1.6393,0.1607
1970-06-26,-1.0309,-1.3889,-1.3274,NA,0.5263,-0.813,NA,-2.2222,-2.2409,6.1111,7.142
1970-06-29,0,-2.8169,-0.4484,NA,-1.5707,0,NA,0,-1.4327,0.5236,0.5236
1970-06-30,-1.0417,4.3478,0,NA,0.5319,-0.8197,NA,-2.2727,2.0349,-3.125,-2.0833
1970-07-01,0,-2.1053,-0.8264,NA,-1.8018,-0.5291,NA,3.2258,-2.3256,0,0
1970-07-02,-3.7037,-1.0753,-2.9167,NA,2.7523,-0.5319,NA,0.5208,0,-0.8547,2.849
1970-07-06,-2.8846,-2.1739,-1.7167,NA,-4.9107,1.6043,NA,0.5181,-2.381,0.5747,3.4593
1970-07-07,-0.9901,0,-0.8734,NA,-0.4695,-1.0526,NA,0,-2.439,-1.7143,-0.7242
1970-07-08,-0.5,1.1111,-0.8811,NA,-1.8868,2.6596,NA,0.5155,2.5,0,0.5
1970-07-09,1.5075,4.3956,1.3333,NA,3.3654,2.5907,NA,-0.5128,4.8781,-1.1628,-2.6703
1970-07-10,1.9802,0,-1.7544,NA,0.4651,0,NA,0.5155,0,1.7647,-0.2155
1970-07-13,3.8835,-1.0526,0,NA,0,-2.0202,NA,0.5128,0,0.578,-3.3055
1970-07-14,0.9346,-2.1277,5.3571,NA,-1.8519,4.1237,NA,-1.0204,-4.6512,0.5747,-0.3599
1970-07-15,8.7963,3.2609,1.6949,NA,-1.4151,-0.9901,NA,2.0619,2.439,0,-8.7963
1970-07-16,-1.7021,0,0,NA,4.3062,1.5,NA,-1.5152,4.7619,0.8571,2.5592
1970-07-17,-2.5974,8.4211,5.8333,NA,3.6697,3.9409,NA,5.641,0,2.5496,5.147
1970-07-20,0.8889,6.7961,1.5748,NA,11.5044,2.8436,NA,5.3398,2.2727,0.5525,-0.3364
1970-07-21,-0.8811,-1.8182,-1.5504,NA,-2.7778,-6.9124,NA,-0.4608,-4.4444,-1.0989,-0.2178
1970-07-22,2.2222,0,0,NA,-1.2245,6.9307,NA,2.7778,2.3256,1.6667,-0.5555
1970-07-23,6.087,0,-0.7874,NA,0.8264,-1.3889,NA,-4.0541,0,1.3661,-4.7209
1970-07-24,9.4262,0,-0.7937,NA,-0.4098,-2.3474,NA,-0.939,0,-1.6173,-11.0435
1970-07-27,-0.3745,0.9259,0,NA,1.2346,2.4039,NA,-6.6351,-4.5455,-0.274,0.1005
1970-07-28,-1.1278,-1.8349,0.8,NA,0.8264,-4.2254,NA,-1.0152,0,1.6484,2.7762
1970-07-29,-0.7605,-0.9346,0,NA,4.918,7.3529,NA,-9.2308,2.381,-0.5405,0.22
1970-07-30,-0.7663,-2.8302,0,NA,0,0,NA,1.6949,2.3256,0,0.7663
1970-07-31,0.3861,0.9709,1.5873,NA,6.25,0.4566,NA,1.1111,2.2727,0.5435,0.1574
1970-08-03,-2.5585,-6.6667,-3.6765,-1.9231,0.7813,-2.29905,-2.2727,-1.5,1.7391,-0.18835,2.37015
1970-08-04,2.16234705726,4.7619,0.7634,0.9804,-0.3876,-0.784366882205342,1.3954,1.0152,-0.8547,0,-2.16234705726
1970-08-05,-1.86462609774305,-4.5455,3.7879,-0.9709,0,-3.4606117030952,0,2.5126,0,-0.270797863275479,1.59382823446757
1970-08-06,-0.78740004265105,0,-1.8248,0,4.2802,-1.82320821527425,-0.9174,1.4706,0.8621,0.543014555097607,1.33041459774866
1970-08-07,1.88060545684972,2.381,2.6022,-0.9804,0.3731,3.50961536964179,1.3889,0.4831,0.4274,0.513532000980128,-1.36707345586959
1970-08-10,-1.28027861158833,-4.6512,-1.4493,-1.9802,-1.487,-2.64555205197315,-2.2831,-1.4423,2.1277,-0.268645656811778,1.01163295477655
1970-08-11,-1.90800481873867,0,-2.9412,-2.0202,0.3774,-4.16997267366675,-1.8692,0,-1.6667,-0.781639675879936,1.12636514285873
1970-08-12,-2.3473290091474,2.439,-0.3788,0,0,-7.93679866582644,0.9524,0.9756,0,1.14159724472432,3.48892625387172
1970-08-13,-1.02971628277944,0,1.1407,0,-0.3759,-2.92090045845046,5.6604,0,-3.3898,-0.752500266185334,0.277216016594105
1970-08-14,1.18023864911282,0,-1.5038,2.0619,0.3774,1.27645934674423,1.7857,0,-1.3158,-1.2724999307705,-2.45273857988332
1970-08-17,0.994562467519658,-2.381,0,1.0101,-0.3759,0.900271274444399,-0.4386,0.9662,-0.4444,0.520986430483637,-0.473576037036022
1970-08-18,1.18843361411343,2.439,3.4351,-2,0.3774,2.78373954881162,0.4405,3.8469,-0.8929,-0.681360938912885,-1.86979455302631
1970-08-19,0.636750709183611,-2.381,2.214,3.0612,-0.7519,1.45834587619929,-0.4386,-0.9346,4.5045,0.906447585496421,0.26969687631281
1970-08-20,0.0656095828152978,0,0.361,1.9802,0,-2.24159368063867,-1.7621,1.4151,2.1552,0.543939810014917,0.478330227199619
1970-08-21,0.697889112394579,0,1.7986,-0.9709,1.5152,5.7937847003255,0.4484,0.4651,-2.1097,0.43241318761827,-0.265475924776309
1970-08-24,8.07466288169494,2.439,4.2403,2.9412,2.2388,0.76108603147613,2.2321,4.1667,-0.431,1.69754581371813,-6.37711706797682
1970-08-25,-1.31553995370142,-4.7619,1.6949,0.9524,0.7299,-0.164230169266938,1.7467,-0.8889,-2.1645,0.662066546992014,1.97760650069343
1970-08-26,0,5,0.6667,4.717,0.7246,-2.08881494153357,1.6309,0,1.7699,0.763368091815798,0.763368091815798
1970-08-27,1.61364449294439,4.7619,-2.9801,-1.8018,0.7246,-0.873503604626731,-2.5641,0.4484,0,1.14919420525042,-0.464450287693975
1970-08-28,5.34625554518711,4.5455,-0.3413,1.8349,-0.7194,0.321987688769641,0.8772,1.3393,-0.8696,-0.516236508895459,-5.86249205408257
1970-08-31,0.173806885081342,2.1739,-2.0548,0.9009,0,6.48645875719057,0.8696,-0.8811,0.8772,-0.778394244553,-0.952201129634342
1970-09-01,-1.4342,1.7857,-2.3148,0.6579,-1.7778,-1.0246,-1.7647,-2.26815,0,-2.21905,-0.78485
1970-09-02,0.751500547096457,-1.7544,-0.185442625904436,-1.3072,-0.905,0.384996973389347,1.7964,0.0871425342915334,-0.7246,0.0851632835946061,-0.666337263501851
1970-09-03,4.33263478838385,1.7857,5.73906455501079,-4.6358,1.3699,3.29629994868089,5.2941,1.78727372290949,0,1.81184834941244,-2.52078643897141
1970-09-04,-1.38422025210973,7.8947,3.7485455551947,5.5556,0,2.26539088303159,-1.1173,1.22454638350679,0.7299,1.27835999605433,2.66258024816406
1970-09-08,0.994931242780905,6.5041,-0.865619130720337,9.2105,-1.8018,-0.228927507960808,-0.565,1.3831882968017,0,1.08257024472735,0.0876390019464448
1970-09-09,-1.03092739102843,-3.8168,-0.873204055327355,-1.2048,1.8349,-1.82871045881729,-0.2273,-1.62322010097976,0.7246,1.42642466969658,2.45735206072501
1970-09-10,-2.13773754398128,-3.1746,-0.363842915813721,2.439,-0.9009,-1.59466800612678,1.1494,-1.47607099010311,-2.1583,1.39207082210407,3.52980836608535
1970-09-11,1.49335064927799,1.6393,5.18930528938791,4.1667,-0.4545,-1.25033286508561,0.5682,-2.02316945942624,0,-0.66307853178698,-2.15642918106497
1970-09-14,5.66643288789864,1.6129,0.328889751981506,-1.7143,-0.9132,-0.579961743438493,1.6949,0.808431716233786,1.4706,-1.12822899182926,-6.7946618797279
1970-09-15,-1.98506089960406,-3.9683,1.16556027309958,-1.1628,0.4608,1.2023349716801,0,-1.33346895275184,-0.7246,-0.469736624623331,1.51532427498073
1970-09-16,1.47360575858965,-2.4793,2.30423775118217,6.4706,1.3762,0.442949544738012,0,-0.274088515643434,-0.7299,-0.405627352531617,-1.87923311112127
1970-09-17,3.27302785826078,-5.0848,-1.61886423633703,4.4199,0.4525,0.407628038519326,0,2.12595942255117,2.2059,0.86122121640596,-2.41180664185482
1970-09-18,3.23776342408822,-1.7857,0,1.5873,-0.9009,0.811910856039268,-1.1111,2.79317869665315,-0.7194,-0.209205385103474,-3.4469688091917
1970-09-21,-2.69272150083922,-1.8182,-0.912174769048271,1.5625,-0.9091,-0.505153282390898,-1.1236,1.9409043257855,1.4493,0.548577877423218,3.24129937826244
1970-09-22,-1.68690817248771,0.9259,0.0902959220695876,0,-2.7523,-0.235509687714289,-2.2727,0.72024293574784,-1.7429,0,1.68690817248771
1970-09-23,1.20110137805254,2.7523,2.65102435816821,1.5385,1.8868,0.136450825584125,-1.1628,-0.123078592454397,0.7407,1.49352872073463,0.292427342682096
1970-09-24,1.98406875954852,3.5714,0.245954213925612,8.5859,0.463,-0.607717879591244,0.5882,0.209787498244952,-0.7353,1.4715593300787,-0.512509429469823
1970-09-25,1.77919718130079,0,-1.85772540601015,0.4651,-0.4608,-1.90463813295894,2.924,0.751062247260298,0,0.560379280118283,-1.21881790118251
1970-09-28,-2.79419878082339,3.4483,0.571411395662653,-4.1667,-0.9259,-0.102025241622565,-0.5682,1.67118412400979,1.4815,-0.248153436433354,2.54604534439004
1970-09-29,0.622074035038303,6.6667,1.13632042149071,5.314,-0.9346,0.068088989478896,1.7143,1.56363826722179,1.4599,1.21106372143768,0.58898968639938
1970-09-30,-2.07151653231986,0,1.21139961584772,-2.2936,0.9434,-1.17898694282601,-0.5618,-1.53961671453749,-0.7194,2.48589738724236,4.55741391956222
1970-10-01,-1.6701,-0.3257,-2.3438,0.245,-0.8403,2.3365,-0.72465,-1.3333,1.6949,1.172,2.8421
1970-10-02,0.716168497578051,-1.3072,2.4,1.0845068155519,0.8475,0.4566,-0.857492168448663,4.7297,-0.5556,2.33485900130471,1.61869050372666
1970-10-05,-2.11153320014832,2.649,7.8125,-0.16371428553656,0.8403,1.8182,0.369922618625343,0,0,0.415378815077703,2.52691201522602
1970-10-06,-1.17739175330835,2.9032,-0.7246,-0.840026996559346,1.6667,0.8929,-0.610708584532046,1.2903,3.352,0.378696187389229,1.55608794069758
1970-10-07,4.13177459957377,-1.8809,-0.7299,-0.373936894058974,3.2787,-0.885,-0.24900387952374,1.2739,-0.5405,-0.368553123266896,-4.50032772284067
1970-10-08,-2.11236798977901,-0.3195,-2.2059,-0.403440655377394,-1.5873,-0.8929,-0.123923018746502,-3.1447,0,-1.86706370314202,0.245304286636991
1970-10-09,-0.950485064172339,0.3205,-2.2556,0.274367557689106,0,-2.7027,0,-0.974,-1.087,-0.556531290598827,0.393953773573513
1970-10-12,-0.716922508780057,-5.4313,-3.0769,-0.158531066191426,-1.6129,-0.9259,-0.246334678486321,0,0,-0.189515107273059,0.527407401506997
1970-10-13,-1.22781915134833,2.027,0.7937,-0.158757210596089,1.6393,0,0,-1.9672,0,-2.46861510672376,-1.24079595537543
1970-10-14,-0.978547650373902,0,-5.5118,-0.318065234691887,-1.6129,-1.4019,0.246907879151605,-0.6689,0,0.380184123040168,1.35873177341407
1970-10-15,-0.511286493830555,-1.3245,-0.8333,0.0437746046455186,1.6393,0.9479,-0.122269520711258,1.3468,1.0989,0.757487228147295,1.26877372197785
1970-10-16,-0.485175531087172,0.6711,-2.521,-0.522114204799772,-4.0323,-3.2864,0.741709621696693,-1.3289,-0.5435,-1.02617948952106,-0.541003958433893
1970-10-19,-0.768887362825203,-0.6667,0.8621,0.292187417695878,-0.8403,-3.8835,-0.61470494676743,1.0101,0,-1.59273498980203,-0.823847626976832
1970-10-20,1.26613154250918,0.6711,-4.2735,-0.11601732597086,-0.8475,1.5152,0.866660111531255,0,0.5464,0.00933914517987682,-1.25679239732931
1970-10-21,0.222397122078224,2,0.8929,-0.611703899323391,0.8547,-0.995,-0.861006986831,0,0,1.21377941836511,0.991382296286887
1970-10-22,-2.4950464227374,-1.9608,-0.885,-0.205138963944869,-0.8475,-2.0101,-1.60928955402042,0.3333,0,-1.5989557858225,0.896090636914901
1970-10-23,-1.25588000151158,-1.3333,-0.8929,0,2.5641,1.5385,2.01389743430302,1.3289,0.5435,1.20933271414897,2.46521271566055
1970-10-26,-0.520693897381131,-0.6757,-2.7027,0,-2.5,-1.0101,-0.863445281746768,2.623,0,0,0.520693897381131
1970-10-27,-1.54018322075742,-1.0204,-1.8519,0.439773778873906,5.1282,1.0204,0.00181636847254321,2.2654,-0.5405,0.401409219148687,1.94159243990611
1970-10-28,2.07762009386173,0,2.8302,1.3446731274376,-1.626,0,-0.372216871541264,2.8481,2.1739,-2.38948683727593,-4.46710693113765
1970-10-29,0.490907079925374,0,0,-0.201945817065532,-0.8264,0,1.12269012475144,-0.9231,2.1277,-1.60991683871825,-2.10082391864362
1970-10-30,-0.771416451211877,-1.0309,0.9174,0,1.6667,-0.5051,0.00356377657084891,-0.6211,-1.0417,-0.832525093789614,-0.0611086425777376
1970-11-02,2.04545,-1.6393,-0.6536,0.74625,0,0.9091,2.49695,0.5263,-0.625,-1.45485,-3.5003
1970-11-03,2.43398928183471,0,0,0.385386874201273,1.0417,2.7027,-2.24180534528101,1.0471,0,0.630700327362635,-1.80328895447208
1970-11-04,-1.45465965050186,-0.8333,1.3158,-0.501919657124995,3.0928,-2.6316,0.27827223594959,0.5181,-0.6289,-0.840328523356476,0.614331127145384
1970-11-05,-2.17484363332956,-0.8403,0,0.993878924284021,2.3333,-1.8018,0.109806520659343,0.5155,-0.3165,2.53184406891108,4.70668770224064
1970-11-06,-0.467221155736325,1.6949,1.461,1.49847487495367,0.3257,-3.6697,-1.00818423305889,-0.5128,0.3175,-2.34156862907733,-1.874347473341
1970-11-09,3.14002090500919,0,0,3.06837399117226,0,-0.9524,-0.716902094812436,-0.5155,1.2658,-0.20674583109676,-3.34676673610595
1970-11-10,4.09580326980823,2.5,0,-0.491697275793726,1.2987,0,-0.192188668943931,-1.0363,0.625,-1.05535011273034,-5.15115338253857
1970-11-11,-2.50252551465604,0,0,1.18526344988961,-0.3205,0.9615,0.530962461450052,3.1414,1.2422,0.430961712653117,2.93348722730916
1970-11-12,-5.26748401001707,-2.439,0,-0.125657785461419,-0.9646,0.9524,-0.460233043915016,-2.0305,0.3067,-4.24561728016438,1.02186672985269
1970-11-13,0.157782634645634,1.6667,-2.5641,-0.949580160493237,-0.6494,-1.8868,-0.372350803593717,-2.0725,-0.3058,-1.78008604777137,-1.937868682417
1970-11-16,0.0706240129283189,-3.2787,-0.6579,0.239679440589792,0,-2.8846,-0.850239013526213,-2.6455,0,1.80981908414996,1.73919507122164
1970-11-17,0,0,-0.6623,0.361063964227755,-0.6536,-2.9703,0.29839345168144,1.087,0.1534,4.44911141335749,4.44911141335749
1970-11-18,1.13993468210582,-1.6949,-3.3333,-1.55909129851694,-3.2895,-2.0408,-1.85715203140857,0.5376,0.4594,-3.18560175855067,-4.32553644065649
1970-11-19,0.225424371649711,0.8621,1.3793,1.33821486115851,0.6803,-3.125,-0.858417845594424,3.2086,0,-0.871465767971175,-1.09689013962089
1970-11-20,0.899646122970374,-0.8547,1.3605,2.04761738693994,3.0405,3.2258,-0.515015697140869,-1.5544,0,3.3219173626558,2.42227123968543
1970-11-23,0.376818796217381,1.7241,2.6846,0.68810427735384,0.3279,3.125,-0.187612700541252,1.0526,0.7622,-0.860606193430756,-1.23742498964814
1970-11-24,1.4011418073163,-3.3898,0,0.553335994900754,-0.3268,0,1.33225391780354,1.0417,1.059,1.69029818349073,0.289156376174428
1970-11-25,3.30589330718224,1.7544,1.9608,1.38335610898756,-1.6393,-2.0202,0.383854370246177,2.5773,0,-0.208606173471528,-3.51449948065377
1970-11-27,3.08398533487429,-1.7241,0,0.901754443454844,-1,-2.0619,0.0223071998031526,0,0,0.223440607190361,-2.86054472768393
1970-11-30,3.00640677390844,0.8772,0.641,1.37584874104936,2.3569,12.6316,0.892052546764669,0.5025,1.8072,2.14324483363271,-0.863161940275727
1970-12-01,-0.3743,0.97405,-2.68215,1.8007,4.55,0.1215,0.11905,-0.13315,1.0355,0.3285,0.7028
1970-12-02,1.12806855620588,0.778859791748474,4.13409417203524,2.66592674038587,0.609241696843616,0,3.09804834988946,1.17686151756063,1.31771811739438,3.81542906399146,2.68736050778558
1970-12-03,0.981553625523294,1.09188166682218,1.0834133950761,1.16975827926059,3.16720790724277,-0.132725446332706,0.960574245929897,3.14917752567597,3.00986531037907,-1.01658133706507,-1.99813496258836
1970-12-04,1.42302839459492,3.2402949684538,1.98414362390308,0,1.76085400060397,0.759554237536362,0.00894276893112208,0.311542163932091,0.643325634436721,0.375408722372762,-1.04761967222216
1970-12-07,6.60068233445369,-2.3980847214264,-0.116406089299264,0.215931099572101,0.981344275725798,0.949076655604092,0.929009254119024,-0.437951833046798,-1.3460396616285,-0.286483831646246,-6.88716616609994
1970-12-08,0.0930526307205724,-1.51739252203469,-3.68077956255254,-0.976532501253661,0.219312155232712,0.247377031596418,-0.00883680916609071,-1.08862171402444,-1.55418439684965,-0.398564842986616,-0.491617473707189
1970-12-09,0.0562964521541869,-0.318022596578046,2.60811917205188,0.038584337049053,2.54191238917328,0.124333031497318,-1.54600592211758,-0.825572502659767,-0.658144125212723,-0.649421810815687,-0.705718262969874
1970-12-10,-0.072439430054384,1.41092722319623,-1.18247426199666,1.08748726866251,-0.769237349615505,-1.23688570887813,1.27208982165958,-1.49077553979613,-1.41992799332738,1.15017626224209,1.22261569229647
1970-12-11,0.725903655794213,-0.538333064088624,2.75117101159858,1.79760704242759,1.93797738932626,-0.749614501467636,2.03236705868879,1.7037888390091,1.08654567139798,-2.07848868181715,-2.80439233761136
1970-12-14,-1.72856718661932,-1.17392997399726,-3.00767204050599,-0.248882378173592,-1.52093234530123,1.6371370984682,-0.760811217305918,-0.561796776571163,-2.32991242304477,-1.00287816602581,0.725689020593512
1970-12-15,-0.119922384406945,0.320099126626153,-0.460090116292263,-0.461374912675834,-0.171850939926919,0.619386508287992,0.454937005533795,0.247692944166801,0.803677249608325,0.0877533135489642,0.20767569795591
1970-12-16,-0.681716935126362,0.545965712226787,0.462224107611395,0.212863112997349,1.86897844322024,0.865062162556481,-1.37745495167586,-3.12416685672198,0.441750979244575,1.24796934492807,1.92968628005443
1970-12-17,1.95048926042209,0,1.72065903776149,-1.21283624260505,2.17263481899405,-1.70990030055498,-0.459233480220833,-0.132802501556948,0.85447542556377,1.78600980188983,-0.164479458532264
1970-12-18,-0.425188255986267,0.726308350326121,-0.511181566281004,-1.65773358957285,0.268487760641531,-0.12400047196616,0.467726973280181,-0.122405482971242,1.54908957390374,0.484981575544939,0.910169831531206
1970-12-21,1.37970527183171,-0.362664418227467,-0.909262570313201,-1.4671032966993,-1.48240293533237,0.4984363590081,0.937444820847469,0.572689351109405,2.50290164167723,0.799222604300327,-0.580482667531381
